amount_p,posx1_p,posx2_p,posx3_p,posx4_p,posx5_p,center_to_center_p,edge_to_edge_p,w_p,stim_lengt_p,eccentricity_p,line1_p,line2_p,line3_p,line4_p,line5_p,amount,posx1,posx2,posx3,posx4,posx5,center_to_center,edge_to_edge,w,stim_length,eccentricity,trial_type,deg_to_pix_index,posx1_in_pix,posx2_in_pix,posx3_in_pix,posx4_in_pix,posx5_in_pix,line1,line2,line3,line4,line5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,response,starting_width_deg,starting_space_deg,response_width_degree,response_spacing_degree,response_width_pixel,response_spacing_pixel,next_5.keys,next_5.rt,key_resp_4.keys,key_resp_4.rt,text_3.started,text_4.started,key_resp_2.started,participant,age,gender,resp_group,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.7451118,c,180.2587863,,,,,,,,,,,,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
3,9.5,10,10.5,0,0,0.5,0.4,0.1,1.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,num_3,3.3417572,num_3,0.25,0.7,0.1,0.55,3.82055,21.01303,return,15.584863,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
5,8.6,9.3,10,10.7,11.4,0.7,0.3,0.4,3.2,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,7,,,,,,,,,,,,num_4,3.592102,num_4,0.2,1.1,0.5,0.9,19.10275,34.38495,return,7.0258734,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
3,9,10,11,0,0,1,0.9,0.1,2.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,num_3,3.1573277,num_3,0.55,0.7,0.1,0.75,3.82055,28.65413,return,11.8071699,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
4,8.65,9.55,10.45,11.35,0,0.9,0.5,0.4,3.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,5,,,,,,,,,,,,num_4,3.0439131,num_4,0.3,1.3,0.6,0.9,22.9233,34.38495,return,12.9488161,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
5,9,9.5,10,10.5,11,0.5,0.1,0.4,2.4,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,8,,,,,,,,,,,,num_4,5.2277236,num_4,0.35,0.8,0.65,0.8,24.83358,30.5644,return,16.3274067,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
3,8.2,10,11.8,0,0,1.8,1.4,0.4,4,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,2,,,,,,,,,,,,num_4,5.2583962,num_4,0.2,1,0.45,1,17.19248,38.2055,return,11.8712758,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
5,9.25,9.625,10,10.375,10.75,0.375,0.125,0.25,1.75,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,num_5,2.935663,num_5,0.2,0.8,0.35,0.6,13.37193,22.9233,return,16.8895224,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
4,9.25,9.75,10.25,10.75,0,0.5,0.25,0.25,1.75,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,4,,,,,,,,,,,,num_4,10.1258082,num_4,0.4,0.6,0.15,0.5,5.73083,19.10275,return,17.6517442,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
4,9.5,9.833333333,10.16666667,10.5,0,0.333333333,0.233333333,0.1,1.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,3,,,,,,,,,,,,num_3,5.3032277,num_3,0.25,0.7,0.3,0.55,11.46165,21.01303,return,14.1245364,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,143.339361,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,5,7.8,8.9,10,11.1,12.2,1.1,0.85,0.25,4.65,10,initial,36.05,281,321,361,400,440,9,9,9,9,9,,,,,0,0,0,0,0,0,0,36,,,,num_4,2.0280686,num_4,0.3,0.6,0.15,1.2,5.73083,45.8466,return,8.7716274,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,8.9,10,11.1,0,0,1.1,0.7,0.4,2.6,10,initial,36.05,321,361,400,0,0,9,9,9,0,0,,,,,0,0,0,0,0,1,1,4,,,,num_3,1.8159346,num_3,0.3,0.6,0.45,0.9,17.19248,34.38495,return,5.0155788,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.65,0.25,2.95,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,0,0,0,0,0,2,2,30,,,,num_4,2.2851943,num_4,0.2,0.8,0.2,0.8,7.6411,30.5644,return,2.1403913,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,5,8.6,9.3,10,10.7,11.4,0.7,0.15,0.55,3.35,10,initial,36.05,310,335,361,386,411,9,9,9,9,9,,,,,0,0,0,0,0,3,3,40,,,,num_5,3.2199015,num_5,0.2,0.9,0.45,0.75,17.19248,28.65413,return,9.9288772,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,0,0,0,0,0,4,4,46,,,,num_5,7.9703745,num_5,0.45,0.5,0.25,0.55,9.55138,21.01303,return,12.9082322,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,7.8,10,12.2,0,0,2.2,1.65,0.55,4.95,10,match,36.05,281,361,440,0,0,9,9,9,0,0,,,,,0,0,0,0,0,5,5,35,,,,num_3,2.0395265,num_3,0.25,0.7,0.65,1.6,24.83358,61.12881,return,10.0471316,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.35,0.55,3.25,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,0,0,0,0,0,6,6,28,,,,num_4,5.339472,num_4,0.45,1.1,0.65,1.4,24.83358,53.48771,return,3.6972669,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,5,8.35,9.175,10,10.825,11.65,0.825,0.275,0.55,3.85,10,match,36.05,301,331,361,390,420,9,9,9,9,9,,,,,0,0,0,0,0,7,7,18,,,,num_5,3.8228196,num_5,0.55,0.8,0.65,1.45,24.83358,55.39798,return,5.2327297,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,4,8.35,9.45,10.55,11.65,0,1.1,0.85,0.25,3.55,10,initial,36.05,301,341,380,420,0,9,9,9,9,0,,,,,0,0,0,0,0,8,8,19,,,,num_4,2.4200726,num_4,0.4,1.2,0.2,1,7.6411,38.2055,return,9.8552057,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,9.3,10,10.7,0,0,0.7,0.15,0.55,1.95,10,initial,36.05,335,361,386,0,0,9,9,9,0,0,,,,,0,0,0,0,0,9,9,6,,,,num_3,1.7679342,num_3,0.35,1,0.6,0.7,22.9233,26.74385,return,8.2082484,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.5,0.4,3.1,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,0,0,0,0,0,10,10,32,,,,num_4,1.4679787,num_4,0.35,0.6,0.5,0.9,19.10275,34.38495,return,3.2786543,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,8.9,10,11.1,0,0,1.1,0.55,0.55,2.75,10,initial,36.05,321,361,400,0,0,9,9,9,0,0,,,,,0,0,0,0,0,11,11,0,,,,num_3,1.3101515,num_3,0.35,1.1,0.25,1.1,9.55138,42.02605,return,5.8585651,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,4,8.35,9.45,10.55,11.65,0,1.1,0.55,0.55,3.85,10,initial,36.05,301,341,380,420,0,9,9,9,9,0,,,,,0,0,0,0,0,12,12,17,,,,num_4,1.723041499,num_4,0.35,0.9,0.55,1.2,21.01303,45.8466,return,3.5358853,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,7.8,10,12.2,0,0,2.2,1.95,0.25,4.65,10,match,36.05,281,361,440,0,0,9,9,9,0,0,,,,,0,0,0,0,0,13,13,37,,,,num_4,1.3161419,num_4,0.4,1,0.1,1.1,3.82055,42.02605,return,5.1144109,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,4,9.1,9.7,10.3,10.9,0,0.6,0.35,0.25,2.05,10,match,36.05,328,350,371,393,0,9,9,9,9,0,,,,,0,0,0,0,0,14,14,14,,,,num_4,2.5658847,num_4,0.3,0.9,0.15,0.7,5.73083,26.74385,return,6.2377221,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.35,0.55,2.35,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,0,0,0,0,0,15,15,11,,,,num_3,3.9816176,num_3,0.2,0.4,0.35,0.55,13.37193,21.01303,return,10.3134691,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,8.6,10,11.4,0,0,1.4,1.15,0.25,3.05,10,match,36.05,310,361,411,0,0,9,9,9,0,0,,,,,0,0,0,0,0,16,16,43,,,,num_3,5.4280054,num_3,0.2,0.3,0.15,0.8,5.73083,30.5644,return,19.1560568,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.5,0.4,2.2,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,0,0,0,0,0,17,17,15,,,,num_3,1.261522,num_3,0.55,0.7,0.35,0.9,13.37193,34.38495,return,10.5690202,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,5,8.65,9.325,10,10.675,11.35,0.675,0.425,0.25,2.95,10,match,36.05,312,336,361,385,409,9,9,9,9,9,,,,,0,0,0,0,0,18,18,31,,,,num_5,1.4679336,num_5,0.2,0.6,0.2,0.7,7.6411,26.74385,return,2.4270068,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,4,8.35,9.45,10.55,11.65,0,1.1,0.7,0.4,3.7,10,initial,36.05,301,341,380,420,0,9,9,9,9,0,,,,,0,0,0,0,0,19,19,21,,,,num_4,1.608159,num_4,0.55,1.2,0.3,1.2,11.46165,45.8466,return,5.6648468,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,8.9,10,11.1,0,0,1.1,0.85,0.25,2.45,10,initial,36.05,321,361,400,0,0,9,9,9,0,0,,,,,0,0,0,0,0,20,20,2,,,,num_3,2.5325102,num_3,0.3,0.9,0.2,0.85,7.6411,32.47468,return,6.7830949,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,8.6,10,11.4,0,0,1.4,0.85,0.55,3.35,10,match,36.05,310,361,411,0,0,9,9,9,0,0,,,,,0,0,0,0,0,21,21,41,,,,num_3,1.5441052,num_3,0.4,1.3,0.55,1.45,21.01303,55.39798,return,7.7047242,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.5,0.4,4,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,0,0,0,0,0,22,22,50,,,,num_5,1.4993469,num_5,0.2,1.1,0.5,0.9,19.10275,34.38495,return,7.4184669,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,4,8.9,9.633333333,10.36666667,11.1,0,0.733333333,0.183333333,0.55,2.75,10,match,36.05,321,347,374,400,0,9,9,9,9,0,,,,,0,0,0,0,0,23,23,1,,,,num_4,1.4844175,num_4,0.45,1.2,0.45,0.7,17.19248,26.74385,return,8.735523,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,4,8.95,9.65,10.35,11.05,0,0.7,0.3,0.4,2.5,10,initial,36.05,323,348,373,398,0,9,9,9,9,0,,,,,0,0,0,0,0,24,24,26,,,,num_4,1.5619939,num_4,0.3,0.6,0.3,0.7,11.46165,26.74385,return,5.1609158,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,5,8.6,9.3,10,10.7,11.4,0.7,0.45,0.25,3.05,10,initial,36.05,310,335,361,386,411,9,9,9,9,9,,,,,0,0,0,0,0,25,25,42,,,,num_4,1.30524,num_4,0.2,0.5,0.15,0.5,5.73083,19.10275,return,5.9500114,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,5,7.8,8.9,10,11.1,12.2,1.1,0.7,0.4,4.8,10,initial,36.05,281,321,361,400,440,9,9,9,9,9,,,,,0,0,0,0,0,26,26,38,,,,num_5,1.836568,num_5,0.45,1.1,0.25,0.8,9.55138,30.5644,return,6.2343477,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,5,8.35,9.175,10,10.825,11.65,0.825,0.575,0.25,3.55,10,match,36.05,301,331,361,390,420,9,9,9,9,9,,,,,0,0,0,0,0,27,27,20,,,,num_4,2.1116966,num_4,0.3,0.3,0.15,0.6,5.73083,22.9233,return,19.0440724,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.65,0.25,2.05,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,0,0,0,0,0,28,28,13,,,,num_3,1.5081592,num_3,0.2,0.9,0.3,0.9,11.46165,34.38495,return,4.1765578,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,4,8.95,9.65,10.35,11.05,0,0.7,0.15,0.55,2.65,10,initial,36.05,323,348,373,398,0,9,9,9,9,0,,,,,0,0,0,0,0,29,29,23,,,,num_4,1.5445716,num_4,0.3,0.8,0.45,0.7,17.19248,26.74385,return,7.184368,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,4,8.825,9.608333333,10.39166667,11.175,0,0.783333333,0.533333333,0.25,2.6,10,match,36.05,318,346,375,403,0,9,9,9,9,0,,,,,0,0,0,0,0,30,30,5,,,,num_4,1.468425,num_4,0.2,1,0.25,0.6,9.55138,22.9233,return,8.1925447,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,4,9.3,9.766666667,10.23333333,10.7,0,0.466666667,0.066666667,0.4,1.8,10,match,36.05,335,352,369,386,0,9,9,9,9,0,,,,,0,0,0,0,0,31,31,10,,,,num_3,2.9858539,num_3,0.25,0.5,0.55,0.7,21.01303,26.74385,return,4.9924366,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,5,8.65,9.325,10,10.675,11.35,0.675,0.275,0.4,3.1,10,match,36.05,312,336,361,385,409,9,9,9,9,9,,,,,0,0,0,0,0,32,32,33,,,,num_4,1.1954242,num_4,0.3,0.5,0.5,0.7,19.10275,26.74385,return,4.599747,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,9.3,10,10.7,0,0,0.7,0.3,0.4,1.8,10,initial,36.05,335,361,386,0,0,9,9,9,0,0,,,,,0,0,0,0,0,33,33,9,,,,num_3,1.971771,num_3,0.4,0.9,0.45,0.8,17.19248,30.5644,return,5.8381607,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,5,7.8,8.9,10,11.1,12.2,1.1,0.55,0.55,4.95,10,initial,36.05,281,321,361,400,440,9,9,9,9,9,,,,,0,0,0,0,0,34,34,34,,,,num_4,1.4476638,num_4,0.25,1,0.65,1.1,24.83358,42.02605,return,11.3647198,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,5,8.95,9.475,10,10.525,11.05,0.525,0.125,0.4,2.5,10,match,36.05,323,342,361,379,398,9,9,9,9,9,,,,,0,0,0,0,0,35,35,27,,,,num_4,3.3998354,num_4,0.45,1.1,0.85,1.1,32.47468,42.02605,return,5.5993458,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.65,0.25,3.85,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,0,0,0,0,0,36,36,48,,,,num_4,1.1772439,num_4,0.3,0.8,0.1,0.9,3.82055,34.38495,return,5.009908,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,8.2,10,11.8,0,0,1.8,1.4,0.4,4,10,match,36.05,296,361,425,0,0,9,9,9,0,0,,,,,0,0,0,0,0,37,37,51,,,,num_3,1.1328704,num_3,0.55,1,0.2,2.25,7.6411,85.96238,return,13.2955328,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,4,9.1,9.7,10.3,10.9,0,0.6,0.05,0.55,2.35,10,match,36.05,328,350,371,393,0,9,9,9,9,0,,,,,0,0,0,0,0,38,38,12,,,,num_3,1.4492874,num_3,0.35,1.1,0.6,0.95,22.9233,36.29523,return,12.3600915,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,4,8.9,9.633333333,10.36666667,11.1,0,0.733333333,0.483333333,0.25,2.45,10,match,36.05,321,347,374,400,0,9,9,9,9,0,,,,,0,0,0,0,0,39,39,3,,,,num_4,1.532311,num_4,0.55,1.3,0.25,0.5,9.55138,19.10275,return,5.0332899,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,4,8.95,9.65,10.35,11.05,0,0.7,0.45,0.25,2.35,10,initial,36.05,323,348,373,398,0,9,9,9,9,0,,,,,0,0,0,0,0,40,40,24,,,,num_4,1.4943498,num_4,0.25,0.9,0.15,0.3,5.73083,11.46165,return,4.293592,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,5,8.275,9.1375,10,10.8625,11.725,0.8625,0.6125,0.25,3.7,10,match,36.05,298,329,361,392,423,9,9,9,9,9,,,,,0,0,0,0,0,41,41,22,,,,num_4,1.2271459,num_4,0.3,1.2,0.1,1,3.82055,38.2055,return,8.2617924,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,4,9.1,9.7,10.3,10.9,0,0.6,0.2,0.4,2.2,10,match,36.05,328,350,371,393,0,9,9,9,9,0,,,,,0,0,0,0,0,42,42,16,,,,num_4,1.3613033,num_4,0.45,1.3,0.3,0.6,11.46165,22.9233,return,6.9309417,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,7.8,10,12.2,0,0,2.2,1.8,0.4,4.8,10,match,36.05,281,361,440,0,0,9,9,9,0,0,,,,,0,0,0,0,0,43,43,39,,,,num_3,1.9326251,num_3,0.2,0.7,0.3,1.45,11.46165,55.39798,return,8.8643864,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,9.3,10,10.7,0,0,0.7,0.45,0.25,1.65,10,initial,36.05,335,361,386,0,0,9,9,9,0,0,,,,,0,0,0,0,0,44,44,7,,,,num_3,1.3414949,num_3,0.45,0.6,0.35,1,13.37193,38.2055,return,9.0568157,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,5,8.6,9.3,10,10.7,11.4,0.7,0.3,0.4,3.2,10,initial,36.05,310,335,361,386,411,9,9,9,9,9,,,,,0,0,0,0,0,45,45,44,,,,num_4,1.268222,num_4,0.55,1.2,0.6,0.8,22.9233,30.5644,return,10.5056368,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,8.2,10,11.8,0,0,1.8,1.25,0.55,4.15,10,match,36.05,296,361,425,0,0,9,9,9,0,0,,,,,0,0,0,0,0,46,46,47,,,,num_4,1.4934411,num_4,0.55,0.8,0.25,1.2,9.55138,45.8466,return,7.2720307,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,4,9.3,9.766666667,10.23333333,10.7,0,0.466666667,0.216666667,0.25,1.65,10,match,36.05,335,352,369,386,0,9,9,9,9,0,,,,,0,0,0,0,0,47,47,8,,,,num_4,1.1494953,num_4,0.35,0.6,0.25,0.5,9.55138,19.10275,return,8.7122935,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,5,8.65,9.325,10,10.675,11.35,0.675,0.125,0.55,3.25,10,match,36.05,312,336,361,385,409,9,9,9,9,9,,,,,0,0,0,0,0,48,48,29,,,,num_4,1.6104612,num_4,0.25,0.5,0.3,1.1,11.46165,42.02605,return,5.7042207,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,8.2,10,11.8,0,0,1.8,1.55,0.25,3.85,10,match,36.05,296,361,425,0,0,9,9,9,0,0,,,,,0,0,0,0,0,49,49,49,,,,num_4,10.8075204,num_4,0.2,1,0.35,1.1,13.37193,42.02605,return,14.8227368,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,5,8.95,9.475,10,10.525,11.05,0.525,0.275,0.25,2.35,10,match,36.05,323,342,361,379,398,9,9,9,9,9,,,,,0,0,0,0,0,50,50,25,,,,num_4,1.2767721,num_4,0.55,1.1,0.2,0.5,7.6411,19.10275,return,4.5818126,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,3,8.525,10,11.475,0,0,1.475,1.225,0.25,3.2,10,match,36.05,307,361,414,0,0,9,9,9,0,0,,,,,0,0,0,0,0,51,51,45,,,,num_3,1.0852926,num_3,0.2,0.5,0.2,1.6,7.6411,61.12881,return,8.7789064,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1428.249004,1428.249004,1428.249004,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
